FECHA,IDC,ACTIVIDAD ECONOMICA,EDAD,SALARIO,FFNN,MONTO_ACUMULADO_DOL_ACH,FRECUENCIA_ACH,MONTO_USD_DOL_PCC,CANTIDAD_PCC,NRO_ORDENANTES_DIFERENTES
202006,00248074LP,SERVICIOS JURIDICOS,70,3571.00,1,4863.702619,10,0.000000,0,8
202006,00248636LP,JUBILADOS O RENTISTAS,78,875.00,0,3358.783347,15,0.000000,0,13
202006,00291581LP,OTROS SERVICIOS,74,2000.00,0,5224.224486,8,0.000000,0,6
202006,00298714LP,OTROS SERVICIOS,59,1000.00,0,1020.670550,7,0.000000,0,7
202006,00298935LP,OTROS SERVICIOS,67,2622.01,1,3544.871707,20,0.000000,0,16
202006,00307134LP,JUBILADOS O RENTISTAS,65,500.00,1,1615.976671,11,0.000000,0,8
202006,00310043LP,OTROS SERVICIOS,70,920.00,1,941.545186,6,6000.000000,1,5
202006,00330194LP,OTROS SERVICIOS,55,2000.00,1,2726.030172,8,0.000000,0,6
202006,00333475LP,JUBILADOS O RENTISTAS,63,600.00,0,1086.297368,18,0.000000,0,6
202006,00334809LP,OTROS SERVICIOS,64,2000.00,0,2200.000000,3,0.000000,0,2
202006,00338856LP,REGULACION DE LAS ACTIVIDADES DE ORGANISMOS QUE PRESTAN SERVICIOS SANITARIOS EDUCATIVOS CULTURALES Y OTROS SERVICIOS SOCIALES EXCEPTO SERVICIOS DE SEGURIDAD SOCIAL,69,300.00,1,1508.746353,6,0.000000,0,3
202006,00353131LP,OTROS SERVICIOS,55,2940.00,1,7528.075790,20,0.000000,0,11
202006,00366060LP,ACTIVIDADES DE SERVICIOS RELACIONADAS CON LA EXTRACCION DE PETROLEO Y GAS EXCEPTO LAS ACTIVIDADES DE PROSPECCION   ,67,1000.00,1,3753.935856,9,0.000000,0,7
202006,00368915LP,OTROS SERVICIOS,55,2498.00,1,3933.279878,10,0.000000,0,8
202006,00369651LP,OTROS SERVICIOS,57,1445.00,1,1922.674925,4,0.000000,0,4
202006,00387332LP,SERVICIO PARA EL MANTENIMIENTO FISICO-CORPORAL,66,300.00,0,60874.635568,2,60879.008746,2,2
202006,00389527LP,JUBILADOS O RENTISTAS,68,300.00,0,498.979586,9,0.000000,0,6
202006,00389999LP,OTROS SERVICIOS,54,934.00,0,1399.416906,6,0.000000,0,2
202006,00390545LP,OTROS SERVICIOS,65,400.00,1,463.892127,2,0.000000,0,2
202006,00390781LP,AMAS DE CASA,63,300.00,0,4715.597666,2,0.000000,0,2
202006,00391810LP,FABRICACION DE SUSTANCIAS QUIMICAS BASICAS,69,5000.00,1,291545.189504,2,291545.189504,2,1
202006,00392603LP,OTROS SERVICIOS,63,350.00,0,932.215740,5,0.000000,0,3
202006,00393617LP,ELABORACION DE AGUAS MINERALES,58,4304.00,1,7643.166176,16,0.000000,0,13
202006,00395968LP,OTROS SERVICIOS,56,2000.00,0,5025.215739,8,0.000000,0,6
202006,00397472LP,OTROS SERVICIOS,62,983.00,0,2842.565596,3,0.000000,0,1
202006,00398468LP,OTROS SERVICIOS,68,362.00,0,597.667636,5,0.000000,0,2
202006,00399772LP,JUBILADOS O RENTISTAS,66,700.00,0,735.956265,8,0.000000,0,6
202006,00431954LP,JUBILADOS O RENTISTAS,68,1000.00,0,3849.854215,29,0.000000,0,19
202006,00452001LP,ADMINISTRACION PUBLICA,67,500.00,1,583.090379,1,0.000000,0,1
202006,00452162LP,MANTENIMIENTO Y REPARACION DEL MOTOR; MECANICA INTEGRAL,70,260.00,0,1756.294456,7,0.000000,0,2
202006,00457082LP,SERVICIOS DE ARQUITECTURA,67,500.00,0,730.903786,6,0.000000,0,5
202006,004586488AU,EMPLEADOS,33,1500.00,0,3245.651601,5,0.000000,0,4
202006,00460917LP,JUBILADOS O RENTISTAS,72,400.00,0,1502.785713,6,0.000000,0,6
202006,00461703LP,OTROS SERVICIOS,65,1000.00,0,3091.776965,7,0.000000,0,6
202006,00461896LP,OTROS SERVICIOS,54,2000.00,0,2037.440225,16,0.000000,0,16
202006,00462285LP,EXTRACCION DE MINERALES DE HIERRO,62,4500.00,1,9287.900872,4,0.000000,0,4
202006,00465054LP,OTROS SERVICIOS,66,5000.00,1,5000.000000,2,0.000000,0,1
202006,00465766LP,OTROS SERVICIOS,69,500.00,0,1117.201165,2,0.000000,0,2
202006,00466463LP,JUBILADOS O RENTISTAS,70,500.00,0,950.437316,3,0.000000,0,2
202006,00466517LP,OTROS SERVICIOS,54,6930.00,1,7597.871717,7,0.000000,0,5
202006,00470308LP,OTROS SERVICIOS,67,2500.00,1,2720.116610,16,0.000000,0,6
202006,00470981LP,SERVICIO DE INVESTIGACION Y DESARROLLO EN INGENIERIA,68,700.00,1,1574.043731,3,0.000000,0,3
202006,00471232LP,JUBILADOS O RENTISTAS,68,700.00,0,18164.585982,43,0.000000,0,25
202006,00471369LP,SERVICIOS DE CONSULTAS MEDICAS,59,500.00,0,3179.323607,16,0.000000,0,11
202006,00475467LP,SERVICIOS INMOBILIARIOS DE COMPRA VENTA Y ALQUILER,66,7000.00,1,24409.913990,9,5830.903790,1,6
202006,00475553LP,JUBILADOS O RENTISTAS,67,500.00,0,697.230319,2,0.000000,0,2
202006,00476192LP,OTROS SERVICIOS,59,700.00,0,2521.137024,4,0.000000,0,4
202006,00476959LP,JUBILADOS O RENTISTAS,69,300.00,0,510.204081,1,0.000000,0,1
202006,00476999LP,OTROS TIPOS DE VENTA AL POR MENOR NO REALIZADA EN ALMACENES,60,250.00,0,1364.431481,11,0.000000,0,9
202006,00477730LP,OTROS SERVICIOS,52,957.00,0,2943.002908,12,0.000000,0,7
202006,00480171LP,JUBILADOS O RENTISTAS,67,500.00,0,762.724488,4,0.000000,0,4
202006,00484235LP,SERVICIO DE TRANSPORTE AUTOMOTOR SUBURBANO DE PASAJEROS,62,5000.00,1,8199.708453,8,20157.434402,2,5
202006,00486695LP,OTROS SERVICIOS,52,1000.00,1,1502.259473,5,0.000000,0,3
202006,00487090LP,OTROS SERVICIOS,52,7000.00,1,13296.913575,30,0.000000,0,23
202006,00487582LP,OTROS SERVICIOS,65,400.00,0,3296.851311,5,0.000000,0,3
202006,00487909LP,OTROS SERVICIOS,62,1000.00,0,5927.655976,8,0.000000,0,5
202006,00488339LP,JUBILADOS O RENTISTAS,66,500.00,0,1198.542273,3,0.000000,0,3
202006,00489091LP,JUBILADOS O RENTISTAS,66,600.00,0,15631.049560,6,0.000000,0,1
202006,00492759LP,JUBILADOS O RENTISTAS,67,1500.00,1,49999.999999,2,49564.868804,1,2
202006,00496525LP,VENTA AL POR MAYOR DE INTERMEDIARIOS EN COMISION O CONSIGNACION DE PRODUCTOSAGRICOLAS Y PECUARIOS,68,2000.00,1,3367.346938,2,0.000000,0,2
202006,00499772LP,JUBILADOS O RENTISTAS,64,500.00,0,546.647227,5,0.000000,0,4
202006,00550845OR,JUBILADOS O RENTISTAS,81,900.00,0,3352.769678,3,0.000000,0,2
202006,00551708OR,VENTA AL POR MAYOR DE ARTICULOS DE CUERO,82,500.00,0,1799.453352,1,0.000000,0,1
202006,00575687OR,JUBILADOS O RENTISTAS,74,1300.00,0,5247.813410,2,0.000000,0,1
202006,00581144OR,JUBILADOS O RENTISTAS,74,578.00,0,1034.868804,1,0.000000,0,1
202006,00590371OR,JUBILADOS O RENTISTAS,60,858.00,0,1556.492708,9,12000.000000,1,7
202006,00591995OR,JUBILADOS O RENTISTAS,69,550.00,0,1679.498539,9,0.000000,0,6
202006,00598578OR,OTROS SERVICIOS,66,800.00,0,3013.119526,15,0.000000,0,11
202006,00598681OR,OTROS SERVICIOS,69,2819.00,1,3144.314864,11,0.000000,0,2
202006,00603208OR,OTROS SERVICIOS,65,1000.00,0,3644.314868,1,0.000000,0,1
202006,00627230OR,OTROS SERVICIOS,72,887.00,0,1422.740520,8,0.000000,0,5
202006,00632186OR,OTROS SERVICIOS,71,1975.00,1,2069.970843,5,0.000000,0,1
202006,00635187OR,JUBILADOS O RENTISTAS,66,1000.00,1,38557.381918,8,0.000000,0,6
202006,00636286OR,OTROS SERVICIOS,68,2500.00,1,4000.000000,1,0.000000,0,1
202006,00639807OR,EXTRACCION DE METALES PRECIOSOS,63,7000.00,0,29551.661803,13,0.000000,0,10
202006,00642527OR,VENTA AL POR MAYOR DE ARTICULOS DE ILUMINACION,65,2000.00,1,19223.906699,14,0.000000,0,12
202006,00647917OR,SERVICIOS INMOBILIARIOS REALIZADOS POR CUENTA PROPIA CON BIENES PROPIOS O ARRENDADOS,65,1000.00,1,10349.854226,2,0.000000,0,2
202006,00658960OR,VENTA AL POR MENOR DE COSMETICOS ARTICULOS DE TOCADOR Y PERFUMERIA,63,2000.00,1,31229.638477,17,11078.717201,1,11
202006,00661031OR,VENTA AL POR MENOR DE CAFE TE CACAO Y ESPECIAS,65,1143.00,0,40583.090379,1,0.000000,0,1
202006,00663863OR,OTROS SERVICIOS,48,500.00,0,918.367346,2,0.000000,0,2
202006,00664921OR,OTROS SERVICIOS,60,3000.00,1,9953.340581,7,0.000000,0,6
202006,00668281OR,OTROS SERVICIOS,49,6829.00,1,16006.462096,7,0.000000,0,2
202006,00668312OR,SERVICIOS DE CONTABILIDAD TENEDURIA DE LIBROS Y AUDITORIA; ASESORAMIENTO EN MATERIA DE IMPUESTOS,66,1000.00,0,16034.985421,3,0.000000,0,2
202006,00669019OR,SERVICIOS AUXILIARES A LOS SERVICIOS DE ADMINISTRACION DE FONDOS DE JUBILACIONES Y PENSIONES,64,1000.00,1,2014.577259,1,0.000000,0,1
202006,00669670OR,JUBILADOS O RENTISTAS,62,500.00,0,1443.702621,8,0.000000,0,7
202006,00678484OR,OTROS SERVICIOS,49,560.00,0,3339.553922,29,0.000000,0,9
202006,00679272OR,SERVICIO DE APOYO Y LOGISTICA DE AGENCIAS PARA EL TRANSPORTE DE MERCADERIAS,56,3084.69,1,7186.239064,10,3206.997084,2,6
202006,00685174OR,OTROS SERVICIOS,64,1000.00,1,2040.816326,1,0.000000,0,1
202006,00715016CB,JUBILADOS O RENTISTAS,81,525.00,0,2561.953349,5,0.000000,0,3
202006,00735890CB,JUBILADOS O RENTISTAS,77,1000.00,0,8380.320696,10,0.000000,0,1
202006,00747837CB,JUBILADOS O RENTISTAS,82,500.00,0,1374.635565,8,0.000000,0,6
202006,00762273CB,VENTA DE PARTES PIEZAS Y ACCESORIOS DE VEHICULOS AUTOMOTORES,72,5000.00,1,207769.243417,50,0.000000,0,29
202006,00766351CB,OTROS SERVICIOS,60,2860.00,0,8547.840986,14,0.000000,0,4
202006,00771857CB,CURTIDO DE CUEROS,76,6000.00,1,61206.367336,24,0.000000,0,9
202006,00774789CB,SERVICIOS DE ORGANIZACIONES PROFESIONALES,59,2400.00,0,3944.897957,4,0.000000,0,2
202006,00779904CB,JUBILADOS O RENTISTAS,73,500.00,0,756.559763,6,0.000000,0,1
202006,00780275CB,ACTIVIDADES DE IMPRESION,78,500.00,0,798.542272,3,0.000000,0,3
202006,00782974CB,OTROS SERVICIOS,70,3000.00,1,74076.301749,1,74078.488338,1,1
202006,00792402CB,SERVICIOS DE CONSULTAS MEDICAS,61,571.00,0,766.497078,10,0.000000,0,10
202006,00792588CB,OTROS SERVICIOS,54,1241.00,0,1406.705539,2,0.000000,0,1
202006,00800910CB,JUBILADOS O RENTISTAS,76,1000.00,0,5000.000000,1,0.000000,0,1
202006,00811486CB,OTROS SERVICIOS,66,4400.00,1,147959.189497,17,227053.935855,9,11
202006,00813501CB,SERVICIOS HOSPITALARIOS,71,2840.00,0,10204.081632,1,10204.081632,1,1
202006,00813524CB,CONSTRUCCION REFORMA Y REPARACION DE EDIFICIOS                                                           ,62,2000.00,1,2028.279881,5,0.000000,0,2
202006,00815670CB,ACTIVIDADES DE SERVICIOS RELACIONADAS CON LA EXTRACCION DE PETROLEO Y GAS EXCEPTO LAS ACTIVIDADES DE PROSPECCION   ,67,500.00,0,748.688044,6,0.000000,0,5
202006,00816196CB,AMAS DE CASA,68,500.00,0,521.125362,8,0.000000,0,7
202006,00820847PE,OTROS SERVICIOS,55,1500.00,0,1649.125363,6,0.000000,0,3
202006,00821048CB,OTROS SERVICIOS,66,3000.00,0,4629.008743,7,7000.000000,1,5
202006,00822462CB,EMPLEADOS,52,500.00,0,571.720108,14,0.000000,0,4
202006,00823629CB,OTROS SERVICIOS,65,7104.00,1,14854.227398,14,0.000000,0,6
202006,00827018CB,JUBILADOS O RENTISTAS,66,1200.00,0,1278.425643,22,0.000000,0,4
202006,00827756CB,ADMINISTRACION PUBLICA,64,2000.00,0,2960.349852,5,0.000000,0,4
202006,00828042CB,OTROS SERVICIOS,62,300.00,0,1516.236150,2,0.000000,0,2
202006,00834768CB,OTROS SERVICIOS,65,385.00,0,437.317784,1,0.000000,0,1
202006,00837602CB,OTROS SERVICIOS,67,1000.00,1,3644.314868,1,0.000000,0,1
202006,00854630CB,OTROS SERVICIOS,64,300.00,0,626.822155,4,0.000000,0,4
202006,00928746CB,OTROS SERVICIOS,62,1140.00,0,6375.699706,11,0.000000,0,8
202006,00938635CB,EMPLEADOS,69,2500.00,1,68800.000000,1,138703.206997,2,1
202006,00949009CB,OTROS SERVICIOS,49,400.00,0,472.099120,8,0.000000,0,8
202006,00950049CB,SERVICIOS AUXILIARES A LOS SERVICIOS DE SEGUROS Y DE ADMINISTRACION DE FONDOS DE JUBILACIONES Y PENSIONES,62,2000.00,0,7107.662680,12,0.000000,0,5
202006,00950431CB,OTROS SERVICIOS,62,4428.00,1,7424.927109,12,0.000000,0,6
202006,00951968CB,OTROS SERVICIOS,61,1428.00,0,3935.860058,1,0.000000,0,1
202006,00952112CB,VENTA AL POR MAYOR DE INTERMEDIARIOS EN COMISION O CONSIGNACION DE PRODUCTOSAGRICOLAS Y PECUARIOS,63,21521.00,1,338102.655970,16,0.000000,0,12
202006,00952214CB,SERVICIOS DE ORGANIZACIONES EMPRESARIALES Y DE EMPLEADORES,64,1100.00,0,4363.717199,6,0.000000,0,5
202006,00953013CB,OTROS SERVICIOS,62,5005.00,1,5598.396498,6,0.000000,0,3
202006,00955061CB,OTROS SERVICIOS,61,1738.00,1,3032.679290,20,0.000000,0,12
202006,00956556CB,JUBILADOS O RENTISTAS,59,1000.00,1,1783.024776,11,0.000000,0,7
202006,00957689CB,OTROS SERVICIOS,62,874.00,0,6268.221574,1,0.000000,0,1
202006,00959533CB,JUBILADOS O RENTISTAS,59,800.00,0,1201.749266,12,0.000000,0,8
202006,00961952CB,FABRICACION DE COSMETICOS PERFUMES PRODUCTOS DE HIGIENE Y TOCADOR,57,2000.00,1,7309.795915,6,0.000000,0,4
202006,00966898CB,SERVICIOS DE PUBLICIDAD,46,500.00,0,1085.043729,9,0.000000,0,8
202006,00966925CB,OTROS SERVICIOS,49,1200.00,0,2580.174922,8,0.000000,0,3
202006,00967406CB,OTROS SERVICIOS,44,3581.00,1,4495.635544,44,0.000000,0,35
202006,00967993CB,VENTA AL POR MENOR DE ARTICULOS ARTESANALES,59,500.00,1,2594.752185,4,0.000000,0,2
202006,00974366CB,JUBILADOS O RENTISTAS,60,1000.00,0,1086.880465,4,0.000000,0,3
202006,00974373CB,OTROS SERVICIOS,44,2609.00,0,9249.714281,8,0.000000,0,6
202006,00974433CB,OTROS SERVICIOS,61,7101.00,1,9604.629733,12,0.000000,0,9
202006,00974630CB,OTROS SERVICIOS,61,2915.00,0,5393.585996,20,0.000000,0,7
202006,00974870CB,OTROS SERVICIOS,63,1092.00,0,1093.294459,4,0.000000,0,3
202006,00975021CB,SERVICIOS INMOBILIARIOS REALIZADOS POR CUENTA PROPIA CON BIENES PROPIOS O ARRENDADOS,62,2000.00,0,2084.548104,3,0.000000,0,3
202006,00980645CB,JUBILADOS O RENTISTAS,61,250.00,0,3730.909618,5,0.000000,0,1
202006,00981433CB,OTROS SERVICIOS,45,1444.00,0,2244.553933,7,0.000000,0,3
202006,00983499CB,JUBILADOS O RENTISTAS,59,856.00,0,7320.699707,2,0.000000,0,2
202006,00986606CB,SERVICIOS DE CONTABILIDAD TENEDURIA DE LIBROS Y AUDITORIA; ASESORAMIENTO EN MATERIA DE IMPUESTOS,60,500.00,0,539.358599,4,0.000000,0,4
202006,00987035CB,OTROS SERVICIOS,59,3299.00,0,4373.177842,2,0.000000,0,1
202006,00988209CB,OTROS SERVICIOS,54,3000.00,1,3664.198249,3,201895.043729,5,3
202006,00994550CB,SERVICIO DE PLANES DE SEGUROS DE VIDA,60,700.00,0,2456.268221,1,0.000000,0,1
