FECHA,IDC,ACTIVIDAD ECONOMICA,EDAD,SALARIO,FFNN,MONTO_ACUMULADO_DOL_ACH,FRECUENCIA_ACH,MONTO_USD_DOL_PCC,CANTIDAD_PCC,NRO_ORDENANTES_DIFERENTES
202006,05959133LP,5548,32,674,0,1084.475213,10,0,0,6
202006,05959144LP,5549,38,1104,0,1530.612244,2,0,0,2
202006,05960349LP,5550,28,350,0,2089.650142,7,0,0,2
202006,05960447LP,5551,33,500,0,4169.825061,17,0,0,8
202006,05960601LP,5552,32,500,0,601.311949,7,0,0,6
202006,05960633LP,5553,32,600,0,3279.88338,4,0,0,3
202006,05960654LP,5554,37,816,1,3230.903784,12,0,0,7
202006,05960808LP,5555,38,409,0,1104.227396,16,0,0,6
202006,05961715LP,5556,36,573,0,943.148683,9,0,0,8
202006,05962514LP,5557,35,1436,0,5173.973759,3,0,0,3
202006,05963158LP,5558,40,800,0,38655.97668,2,38631.9242,1,2
202006,05964714LP,5559,35,400,0,498.218658,3,0,0,3
202006,05965128LP,5560,37,855,0,2873.323614,3,0,0,2
202006,05965338LP,5561,29,300,0,605.451891,7,0,0,6
202006,05966636LP,5562,32,800,0,1672.813409,5,0,0,4
202006,05966806LP,5563,38,300,0,1209.912535,4,0,0,1
202006,05967485LP,5564,37,1652,0,2450.72886,5,0,0,3
202006,05967512LP,5565,37,650,0,2911.078716,2,0,0,1
202006,05967909LP,5566,38,400,0,419.825068,6,0,0,5
202006,05967975LP,5567,32,1067,0,1093.294457,8,0,0,4
202006,05968152LP,5568,37,800,0,1115.335271,10,0,0,2
202006,05968381LP,5569,37,721,0,772.886293,9,0,0,6
202006,05968899LP,5570,25,1500,0,11152.60495,24,0,0,16
202006,05969030LP,5571,39,436,0,583.090378,2,0,0,1
202006,05969041LP,5572,28,685,0,823.615159,4,0,0,2
202006,05969501LP,5573,32,400,0,942.274051,6,0,0,4
202006,05970121LP,5574,38,365,0,5007.288625,7,0,0,4
202006,05970204LP,5575,37,903,0,1185.131193,4,0,0,4
202006,05970268LP,5576,37,500,0,1231.049562,2,0,0,2
202006,05971040LP,5577,31,300,0,997.376091,3,0,0,3
202006,05971164LP,5578,39,380,0,1256.559766,3,0,0,1
202006,05971788LP,5579,36,683,0,3835.540812,10,0,0,5
202006,05972163LP,5580,36,650,0,1884.548104,2,0,0,2
202006,05972405LP,5581,38,320,0,796.209911,3,0,0,1
202006,05974610LP,5582,38,600,0,918.763847,4,0,0,2
202006,05974636LP,5583,39,571,0,1992.711368,4,0,0,3
202006,05974837LP,5584,34,1300,1,2049.533523,8,0,0,8
202006,05976208LP,5585,28,1000,0,10323.76092,31,0,0,15
202006,05977850LP,5586,39,838,0,1099.271134,5,0,0,3
202006,05978331LP,5587,34,1895.04,0,1913.411073,9,0,0,7
202006,05978363LP,5588,37,929.59,0,1296.064139,2,0,0,1
202006,05979473LP,5589,35,1695.92,0,2510.204081,2,0,0,2
202006,05979858LP,5590,38,1429,1,44441.69095,17,0,0,11
202006,05982988LP,5591,37,1000,0,1074.344023,2,0,0,2
202006,05985244LP,5592,34,1142,1,2738.109325,13,0,0,10
202006,05985273LP,5593,38,1629,1,2224.489792,5,0,0,3
202006,05985460LP,5594,38,500,0,11106.99708,14,0,0,10
202006,05985511LP,5595,28,1015,0,3129.475213,10,0,0,6
202006,05985641LP,5596,33,250,0,553.498533,14,0,0,10
202006,05985642LP,5597,34,920,0,1861.521861,7,0,0,5
202006,05985901LP,5598,31,350,1,612.244897,2,0,0,2
202006,05986298LP,5599,30,596,0,1240.752181,10,0,0,5
202006,05986590LP,5600,37,1349,1,3218.658885,11,75503.76093,3,10
202006,05987908PE,5601,38,500,0,2258.746347,19,0,0,15
